trial_id,sigma_d,rho,phi,theta,seed,C_pc,q_grasp,e_pose,n_grasps,success,obj_z_final,error
82,0.0,0.75,55.0,0.0,10082,1e-05,0.15875,0.0772,1,0,0.436,
83,0.0,0.75,55.0,0.0,20083,9.765625e-06,,,0,0,,no_grasps
84,0.0,0.75,55.0,45.0,84,0.01064,0.20244,0.07412,24,0,0.455,
85,0.0,0.75,55.0,45.0,10085,0.01064,0.21253,0.1112,30,0,0.4576,
86,0.0,0.75,55.0,45.0,20086,0.01064,0.22777,0.09849,31,0,0.4597,
87,0.0,0.75,55.0,90.0,87,0.01181,0.22796,0.10974,22,0,0.455,
88,0.0,0.75,55.0,90.0,10088,0.01181,0.20738,0.09713,30,0,0.4549,
89,0.0,0.75,55.0,90.0,20089,0.01181,0.22724,0.0582,29,0,0.036,
90,0.0,0.75,60.0,0.0,90,0.82954,0.16785,0.38992,8,0,0.455,
91,0.0,0.75,60.0,0.0,10091,0.82954,0.18025,0.38939,4,0,0.455,
92,0.0,0.75,60.0,0.0,20092,0.82954,0.17918,0.39086,12,0,0.455,
93,0.0,0.75,60.0,45.0,93,0.00948,0.2301,0.10791,34,0,0.455,
94,0.0,0.75,60.0,45.0,10094,0.00948,0.24131,0.09934,35,0,0.4606,
95,0.0,0.75,60.0,45.0,20095,0.00948,0.23589,0.1056,34,0,0.455,
96,0.0,0.75,60.0,90.0,96,0.00971,0.27619,0.08144,38,0,0.4557,
97,0.0,0.75,60.0,90.0,10097,0.00971,0.27842,0.08263,37,0,0.4579,
98,0.0,0.75,60.0,90.0,20098,0.00971,0.28213,0.07231,35,0,0.4581,
99,0.0,0.75,65.0,0.0,99,0.88555,0.1799,0.296,10,0,0.455,
100,0.0,0.75,65.0,0.0,10100,0.88555,0.19275,0.28684,29,0,0.455,
101,0.0,0.75,65.0,0.0,20101,0.88555,0.17334,0.19106,18,0,0.455,
102,0.0,0.75,65.0,45.0,102,0.00818,0.24098,0.1013,34,0,0.455,
103,0.0,0.75,65.0,45.0,10103,0.00818,0.24317,0.1046,39,0,0.455,
104,0.0,0.75,65.0,45.0,20104,0.00818,0.22102,0.10552,38,0,0.455,
105,0.0,0.75,65.0,90.0,105,0.00615,0.28421,0.08511,31,0,0.436,
106,0.0,0.75,65.0,90.0,10106,0.00615,0.28397,0.06324,35,0,0.4604,
107,0.0,0.75,65.0,90.0,20107,0.00615,0.28959,0.05071,31,0,0.036,
108,0.0,0.5,30.0,0.0,108,0.00999,0.29375,0.04692,69,1,0.675,
109,0.0,0.5,30.0,0.0,10109,0.00999,0.29347,0.04328,63,1,0.675,
110,0.0,0.5,30.0,0.0,20110,0.00999,0.29385,0.0452,76,1,0.675,
111,0.0,0.5,30.0,45.0,111,0.01426,0.19297,0.07638,11,0,0.4576,
112,0.0,0.5,30.0,45.0,10112,0.01426,0.15639,0.07492,2,0,0.4577,
113,0.0,0.5,30.0,45.0,20113,0.01426,0.17184,0.03541,3,1,0.675,
114,0.0,0.5,30.0,90.0,114,0.014651692708333334,,,0,0,,no_grasps
115,0.0,0.5,30.0,90.0,10115,0.014651692708333334,,,0,0,,no_grasps
116,0.0,0.5,30.0,90.0,20116,0.014651692708333334,,,0,0,,no_grasps
117,0.0,0.5,45.0,0.0,117,0.00317,0.29385,0.06907,67,0,0.455,
118,0.0,0.5,45.0,0.0,10118,0.00317,0.29385,0.06588,64,0,0.4554,
119,0.0,0.5,45.0,0.0,20119,0.00317,0.29367,0.07057,54,0,0.455,
120,0.0,0.5,45.0,45.0,120,0.01258,0.2114,0.06244,10,0,0.4622,
121,0.0,0.5,45.0,45.0,10121,0.01258,0.21283,0.07912,12,0,0.4627,
122,0.0,0.5,45.0,45.0,20122,0.01258,0.19383,0.06984,11,0,0.436,
